Date,Open,High,Low,Close,Adj Close,Volume
2007-11-27,154.000000,207.000000,154.000000,191.800003,177.675140,27262365
2007-11-28,194.000000,197.800003,174.929993,177.000000,163.965057,21958915
2007-11-29,181.000000,182.800003,168.460007,177.399994,164.335602,25616715
2007-11-30,178.000000,191.399994,178.000000,185.800003,172.117004,23047035
2007-12-03,187.949997,198.860001,184.399994,196.000000,181.565826,14578850
2007-12-04,197.350006,211.000000,195.199997,209.800003,194.349533,22742860
2007-12-05,210.000000,219.800003,210.000000,216.800003,200.834030,13806600
2007-12-06,210.199997,221.520004,210.199997,218.020004,201.964172,8619680
2007-12-07,220.000000,226.740005,215.600006,220.000000,203.798386,11182820
2007-12-10,220.330002,222.000000,212.309998,214.710007,198.897934,5028390
2007-12-11,216.210007,217.800003,208.199997,209.199997,193.793732,3990645
2007-12-12,206.000000,212.600006,203.199997,207.380005,192.107773,3637865
2007-12-13,208.000000,230.000000,207.419998,226.229996,209.569565,15317195
2007-12-14,221.029999,227.979996,220.220001,221.399994,205.095261,5345960
2007-12-17,228.000000,233.600006,204.300003,208.850006,193.469498,7024775
2007-12-18,208.850006,208.850006,208.850006,208.850006,193.469498,0
2007-12-19,218.199997,223.199997,209.259995,213.380005,197.665894,4228330
2007-12-20,216.699997,216.699997,210.199997,212.039993,196.424561,3116440
2007-12-24,219.000000,238.399994,217.050003,231.360001,214.321823,10304460
2007-12-26,235.000000,242.800003,229.600006,239.979996,222.306976,7335155
2007-12-27,243.000000,248.000000,240.800003,242.330002,224.483902,4887475
2007-12-28,237.880005,254.800003,235.000000,249.820007,231.422318,5820690
2007-12-31,252.669998,259.000000,252.199997,253.759995,235.072174,3686245
2008-01-01,255.800003,263.799988,252.740005,259.369995,240.269028,2456740
2008-01-02,262.049988,264.799988,254.000000,261.489990,242.232880,3519075
2008-01-03,261.000000,262.940002,252.229996,255.160004,236.369095,2525290
2008-01-04,255.759995,258.959991,246.600006,248.070007,229.801178,2753975
2008-01-07,248.000000,255.779999,243.000000,245.449997,227.374161,3154815
2008-01-08,248.000000,251.000000,237.000000,240.960007,223.214828,2652495
2008-01-09,240.000000,242.000000,230.199997,236.050003,218.666397,3137535
2008-01-10,237.000000,239.960007,222.000000,224.309998,207.790955,2194030
